time,open,high,low,close,volume
2020-12-17,64.11,64.11,61.77,62.42,2305960
2020-12-18,62.42,64.31,62.42,64.31,1053200
2020-12-21,64.83,64.9,63.78,64.83,697030
2020-12-22,64.24,64.31,63.91,64.17,748840
2020-12-23,63.91,64.57,63.52,63.91,666390
2020-12-24,64.17,64.17,62.93,63.78,815730
2020-12-25,63.58,63.98,63.39,63.98,314960
2020-12-28,64.24,64.37,63.78,64.24,836090
2020-12-29,64.24,65.42,64.11,65.03,696510
2020-12-30,65.03,65.29,63.91,64.17,509510
2020-12-31,64.17,64.9,63.58,64.17,367140
2021-01-04,64.24,65.42,63.78,64.9,855900
2021-01-05,64.9,65.94,64.9,65.09,739200
2021-01-06,65.22,69.62,65.09,68.83,2080400
2021-01-07,68.17,71.12,68.17,70.14,889000
2021-01-08,70.8,70.8,68.5,68.7,963900
2021-01-11,68.57,69.29,68.24,68.5,847400
2021-01-12,69.22,69.22,68.3,69.22,634900
2021-01-13,69.22,69.55,68.17,68.7,1064200
2021-01-14,68.83,68.96,67.71,68.11,832200
2021-01-15,68.76,68.76,67.19,67.65,1099800
2021-01-18,67.85,68.83,67.52,67.71,1060400
2021-01-19,67.58,67.71,63.0,64.9,1130300
2021-01-20,64.9,69.42,64.24,64.96,2093000
2021-01-21,64.96,67.52,64.24,67.52,1283700
2021-01-22,67.52,68.17,66.86,67.52,1268500
2021-01-25,66.27,67.52,66.27,67.19,725900
2021-01-26,67.19,67.19,64.9,66.14,970500
2021-01-27,64.96,65.55,61.55,63.85,1566800
2021-01-28,60.31,61.16,59.39,59.39,1205500
2021-01-29,56.05,63.52,56.05,60.96,1359000
2021-02-01,62.93,62.93,59.65,59.72,1309600
2021-02-02,60.31,63.39,60.31,63.26,1064500
2021-02-03,63.91,64.9,63.32,64.83,1454600
2021-02-04,64.83,64.9,61.55,64.83,967300
2021-02-05,64.83,65.55,64.17,65.55,897400
2021-02-08,64.83,65.42,61.03,61.68,2902200
2021-02-09,62.6,63.85,61.03,63.72,2978900
2021-02-17,63.91,65.55,63.91,65.55,1054100
2021-02-18,64.9,66.86,64.24,66.86,1688900
2021-02-19,65.03,66.67,64.96,66.4,1851200
2021-02-22,66.21,66.86,65.75,65.94,1388700
2021-02-23,65.55,66.21,65.03,65.55,1441400
2021-02-24,65.88,66.21,63.26,64.31,1265300
2021-02-25,64.9,65.22,63.98,64.37,896100
2021-02-26,63.78,64.9,63.58,64.37,1070700
2021-03-01,64.37,65.09,64.37,65.03,911200
2021-03-02,65.55,66.73,64.24,65.09,1189600
2021-03-03,64.44,65.16,64.37,64.5,915600
2021-03-04,64.63,65.22,61.03,63.78,1118100
2021-03-05,63.65,63.72,62.27,63.19,1661600
2021-03-08,63.58,63.58,62.27,62.41,1501800
2021-03-09,62.27,62.27,61.03,62.27,1344300
2021-03-10,62.27,62.8,61.62,62.6,1063900
2021-03-11,62.8,63.45,62.8,63.13,1009800
2021-03-12,63.13,63.26,61.95,62.8,1259800
2021-03-15,62.93,63.58,62.6,63.13,1438400
2021-03-16,62.93,62.93,62.34,62.73,655800
2021-03-17,62.6,62.8,62.27,62.67,1239400
2021-03-18,63.06,63.91,62.6,63.91,1609100
2021-03-19,63.65,63.65,61.75,61.75,1595700
2021-03-22,62.93,63.91,62.54,63.58,1902000
2021-03-23,63.52,63.52,62.54,62.8,940800
2021-03-24,62.27,62.86,61.68,62.08,1422500
2021-03-25,62.08,62.93,61.95,62.34,1160300
2021-03-26,62.27,62.6,61.42,62.21,1196800
2021-03-29,62.41,62.8,61.29,62.47,1195800
2021-03-30,62.47,62.47,61.68,62.14,1748700
2021-03-31,61.95,62.34,61.68,62.14,944600
2021-04-01,62.41,64.04,62.41,63.52,2697600
2021-04-02,63.91,64.57,63.52,64.11,2277500
2021-04-05,64.9,67.39,64.63,66.86,3592400
2021-04-06,66.86,67.19,65.88,66.8,2243200
2021-04-07,66.34,66.86,65.81,66.8,1182700
2021-04-08,66.8,66.8,65.22,65.55,1575400
2021-04-09,65.22,65.22,63.91,63.91,2101700
2021-04-12,64.57,65.03,63.85,64.83,2670100
2021-04-13,65.55,65.55,63.91,63.91,1670900
2021-04-14,63.78,64.7,63.52,64.7,1336800
2021-04-15,65.42,65.42,63.45,63.91,2152800
2021-04-16,63.78,64.57,62.93,63.13,1515900
2021-04-19,63.58,64.57,62.8,64.57,1387500
2021-04-20,64.96,68.83,64.57,67.52,6274200
2021-04-22,67.52,69.22,66.99,67.52,2981300
2021-04-23,67.52,68.17,65.88,68.17,2285300
2021-04-26,68.17,68.17,64.17,64.63,3595400
2021-04-27,64.63,65.29,64.04,64.9,1191800
2021-04-28,64.9,65.09,64.04,64.9,1426900
2021-04-29,64.9,65.55,64.24,65.55,1615700
2021-05-04,64.9,65.29,64.24,64.96,1496300
2021-05-05,64.96,66.86,64.96,66.34,1826700
2021-05-06,66.34,66.67,64.9,65.09,1161200
2021-05-07,64.83,64.9,63.39,63.58,2284800
2021-05-10,63.39,64.37,62.86,64.31,1674000
2021-05-11,64.37,65.09,63.91,64.17,1171500
2021-05-12,64.17,64.17,63.58,63.78,1218300
2021-05-13,63.72,64.11,63.45,63.45,1698000
2021-05-14,63.85,64.44,63.32,63.52,1403600
2021-05-17,63.65,63.78,62.8,62.93,1715100
2021-05-18,62.47,62.93,61.95,62.01,2103400
2021-05-19,62.01,62.01,61.49,61.68,1678100
2021-05-20,61.68,64.9,61.68,64.9,1904100
2021-05-21,63.13,64.24,62.93,63.45,1459200
2021-05-24,63.91,64.57,63.26,63.85,1814700
2021-05-25,63.85,65.55,63.85,65.42,3816000
2021-05-26,65.49,66.73,65.35,65.81,2356000
2021-05-27,65.55,65.81,64.24,64.7,1455000
2021-05-28,64.9,66.27,63.98,65.29,2196000
2021-05-31,66.21,66.21,64.44,64.63,2621000
2021-06-01,65.16,68.3,64.7,67.98,4533500
2021-06-02,68.17,70.47,67.98,69.48,4274100
2021-06-03,69.55,70.8,69.48,69.94,2802000
2021-06-04,69.81,69.81,68.24,68.76,2405800
2021-06-07,68.37,68.76,66.34,67.52,2969900
2021-06-08,67.52,68.17,65.55,65.55,2351600
2021-06-09,65.55,66.86,65.03,66.86,2393900
2021-06-10,66.8,67.45,65.55,66.73,2262500
2021-06-11,66.27,67.85,65.88,67.39,2048000
2021-06-14,66.93,67.78,66.4,66.86,1459700
