,VCB_open,VCB_high,VCB_low,VCB_close,VCB_volume,VCB_return,VCB_ma5,VCB_ma10,VCB_std_dev,VCB_ema10,Dollar_Index_Open,Dollar_Index_High,Dollar_Index_Low,Dollar_Index_Close,Dollar_Index_Adj Close,Dollar_Index_return,Dollar_Index_ma5,Dollar_Index_ma10,Dollar_Index_std_dev,Dollar_Index_ema10,Dow_Jones_Open,Dow_Jones_High,Dow_Jones_Low,Dow_Jones_Close,Dow_Jones_Adj Close,Dow_Jones_return,Dow_Jones_ma5,Dow_Jones_ma10,Dow_Jones_std_dev,Dow_Jones_ema10,Nasdaq_Open,Nasdaq_High,Nasdaq_Low,Nasdaq_Close,Nasdaq_Adj Close,Nasdaq_return,Nasdaq_ma5,Nasdaq_ma10,Nasdaq_std_dev,Nasdaq_ema10,US_30_Open,US_30_High,US_30_Low,US_30_Close,US_30_Adj Close,US_30_return,US_30_ma5,US_30_ma10,US_30_std_dev,US_30_ema10,US_500_Open,US_500_High,US_500_Low,US_500_Close,US_500_Adj Close,US_500_return,US_500_ma5,US_500_ma10,US_500_std_dev,US_500_ema10,sentiment_score
2020-11-16,56.7,57.09,55.27,55.79,1250340,-0.7642497772343876,-1.0632010282383655,-1.087579890014714,-1.2017453955352102,-1.069707243839058,92.72000122070312,92.83999633789062,92.45999908447266,92.56999969482422,92.56999969482422,-0.473976044269939,-1.1304463291862787,-1.1271105067087945,-0.39930380306992047,-1.1191719421513364,29672.359375,29964.2890625,29672.359375,29950.439453125,29950.439453125,1.1457165264568252,-0.8168286270946996,-0.9829247847699172,1.4932778847262793,-0.9466891247106769,11847.1103515625,11937.7197265625,11814.8896484375,11924.1298828125,11924.1298828125,0.44481663202392346,-0.47991336112072097,-0.5112125792394578,0.11474296753986983,-0.49777427043189154,29435.0,29998.0,29435.0,29865.0,29865.0,1.124425211664652,-0.8303992481115976,-0.9972144356731317,1.5651010039707782,-0.9604217476433682,3587.0,3637.0,3586.5,3623.0,3623.0,0.7904587732616112,-0.8469165797157855,-0.9379582931581285,0.6918522917095762,-0.9124932556114513,0.9091514970059881
2020-11-17,55.79,56.96,55.59,56.96,548250,1.192959014897403,-1.0377621581578216,-1.0742959497264102,-0.9770166764592858,-1.0517630781551708,92.48999786376952,92.61000061035156,92.2699966430664,92.41999816894533,92.41999816894533,-0.3787051219156913,-1.1417295370332308,-1.1465009724294168,-0.5946661391977636,-1.133831917083807,29800.150390625,29872.419921875,29520.2890625,29783.349609375,29783.349609375,-0.43443908361027805,-0.7979345802872646,-0.9223949644101948,1.056569769801627,-0.9073111888368705,11913.349609375,11950.1796875,11852.41015625,11899.33984375,11899.33984375,-0.1678414644070355,-0.446914629954815,-0.4755525200106579,-0.8350119346608567,-0.47989955198993,29892.0,29898.0,29449.0,29720.0,29720.0,-0.3865809827096173,-0.8097585277257885,-0.9364013894697364,1.1302528259064482,-0.9201134745160052,3625.5,3630.0,3584.25,3606.75,3606.75,-0.3627673808620657,-0.8248910657805093,-0.8964904876106418,0.035286250183728975,-0.8874442241560888,0.9091514970059881
2020-11-18,56.96,57.02,56.57,56.96,906810,-0.03089933757249275,-1.0102944211383387,-1.0610120094381068,-0.8610777560282289,-1.0370814880501718,92.44000244140624,92.51000213623048,92.20999908447266,92.31999969482422,92.31999969482422,-0.258832187107525,-1.1663473502050177,-1.1652050372387492,-0.814729060044569,-1.1489512023982726,29875.400390625,29930.849609375,29432.83984375,29438.419921875,29438.419921875,-0.8747030138527274,-0.7958081803738851,-0.8805907905286015,0.4880645195280806,-0.8915706862771329,11896.0595703125,11942.490234375,11799.9599609375,11801.599609375,11801.599609375,-0.5401164582853895,-0.44546566356149475,-0.4653763694141553,-1.0093325342449373,-0.4737683351656233,29693.0,29896.0,29331.0,29391.0,29391.0,-0.8485783215643955,-0.8056406782722603,-0.8934379063158008,0.5457138875117493,-0.9026491431378905,3604.5,3623.25,3556.5,3565.0,3565.0,-0.8760133132070717,-0.825896032195807,-0.8745095917037172,-0.4689425061155996,-0.8797162060900806,0.9091514970059881
2020-11-19,57.02,58.65,56.83,58.65,2584440,1.700584251877866,-0.9717459492984956,-1.0344441288614976,-0.34408977818482217,-1.0009148732545523,92.55999755859376,92.72000122070312,92.23999786376952,92.29000091552734,92.29000091552734,-0.09027961823348046,-1.1892554915723714,-1.1693233117889106,-0.7529872047218038,-1.1622589310169964,29370.919921875,29524.900390625,29228.380859375,29483.23046875,29483.23046875,0.08640783532386188,-0.7747959810382926,-0.8518660981468874,0.15038804400315656,-0.876551426228043,11779.0400390625,11912.6298828125,11760.98046875,11904.7099609375,11904.7099609375,0.48848318114488687,-0.42682862015448425,-0.46471120207010047,-0.9967393241687571,-0.4597916730844581,29370.0,29476.0,29182.0,29443.0,29443.0,0.10586719991578868,-0.7824263019779951,-0.8637059306549257,0.20896777315859683,-0.885907899842526,3562.0,3582.75,3542.25,3580.0,3580.0,0.26648064385028486,-0.8099840639535918,-0.8617860346499011,-0.6008021642244021,-0.8688064640021439,0.9091514970059881
2020-11-20,59.17,60.14,58.58,60.14,1231960,1.4516867067087327,-0.914937675008201,-0.9961643719360306,0.3423931696208706,-0.9500281113269807,92.33999633789062,92.43000030517578,92.20999908447266,92.38999938964844,92.38999938964844,0.22330430584549635,-1.2019063846910103,-1.166577839061332,-0.8129915357820726,-1.1700223122444133,29437.5703125,29469.890625,29231.19921875,29263.48046875,29263.48046875,-0.5719303908326728,-0.7860736185026618,-0.8271613803775651,-0.5234171220245437,-0.8747607278859412,11892.7001953125,11935.4697265625,11852.509765625,11854.9697265625,11854.9697265625,-0.29522429233536734,-0.4243758056650587,-0.4666545692370872,-1.0255972789187884,-0.4526786112245534,29270.0,29440.0,29123.0,29212.0,29212.0,-0.608888313951411,-0.792617979375477,-0.8375542452568785,-0.5207858986264136,-0.8831041453253735,3560.0,3582.5,3542.75,3554.25,3554.25,-0.5587560523050861,-0.819280003295096,-0.8527400505651285,-0.8393616337700738,-0.8677543493217762,0.9091514970059881
2020-11-23,59.88,60.08,59.17,59.56,648830,-0.5937150658431494,-0.8561005337789682,-0.964958902738062,0.5793338598295097,-0.9166831652876911,92.4000015258789,92.8000030517578,92.0199966430664,92.51000213623048,92.51000213623048,0.2712495935732282,-1.2039577821688934,-1.1703529786146418,-0.8152397213784516,-1.1726243141262775,29332.8203125,29667.75,29332.8203125,29591.26953125,29591.26953125,0.7963501776893387,-0.8047977284466874,-0.81577455758694,-0.589292692589518,-0.8576366358201846,11916.759765625,11949.330078125,11796.5302734375,11880.6298828125,11880.6298828125,0.08965807763300834,-0.42853074058356233,-0.4586008167460396,-1.040015369904874,-0.4446289850723235,29133.0,29621.0,29116.0,29546.0,29546.0,0.8243018089189765,-0.8090379040714203,-0.82463406735189,-0.6026764788199744,-0.8650592067614206,3546.5,3588.0,3545.5,3576.0,3576.0,0.40487491401223585,-0.8350244771347617,-0.8473293684957319,-0.8861898910313433,-0.8602426418068213,0.9091514970059881
2020-11-24,59.82,60.08,59.04,60.08,996580,0.4786078446101365,-0.80740772724443,-0.9276223841762604,0.7173271264638745,-0.8819688121840256,92.52999877929688,92.55999755859376,92.12999725341795,92.2300033569336,92.2300033569336,-0.6918007404872234,-1.2104539611352942,-1.1792759286262597,-0.760571091068472,-1.183502649153681,29746.109375,30116.509765625,29746.109375,30046.240234375,30046.240234375,1.1024940320724943,-0.7910928142376776,-0.7993415300234273,-0.38491093394880455,-0.8218913820376154,11939.330078125,12049.8798828125,11863.4501953125,12036.7900390625,12036.7900390625,0.7559119232284269,-0.4154020827431233,-0.43529002693794155,-1.26742351853957,-0.42447272725599927,29560.0,30067.0,29552.0,29998.0,29998.0,1.1115833531091064,-0.7947283772204103,-0.8070180014934837,-0.38735774320459165,-0.828979498953189,3576.0,3640.0,3575.25,3632.75,3632.75,1.1106684636657767,-0.8263147682021811,-0.831815928499883,-0.7771578362156576,-0.8367432370450024,0.9091514970059881
2020-11-25,60.14,61.25,60.01,60.79,1088020,0.658752790271994,-0.7476341858895313,-0.8836831970687926,0.7694556078300989,-0.8434184511571506,92.11000061035156,92.26000213623048,91.93000030517578,91.98999786376952,91.98999786376952,-0.5973033154122814,-1.2217371689822438,-1.1972935925242993,-0.7841569242569093,-1.1999028160572398,30058.869140625,30058.869140625,29806.25,29872.470703125,29872.470703125,-0.44944059007735776,-0.7684650437746389,-0.7868630352670343,-0.34596744865749596,-0.8009464964903629,12053.8896484375,12114.76953125,12020.9501953125,12094.400390625,12094.400390625,0.24874470983401373,-0.3874349979113782,-0.4204244253536553,-1.0569636953604287,-0.4029749473936062,30029.0,30165.0,29757.0,29828.0,29828.0,-0.4469333941616677,-0.7722346245805124,-0.7936048850740485,-0.3479108095645898,-0.8074766924838922,3635.5,3655.0,3615.25,3627.25,3627.25,-0.14768842957159434,-0.8054617150847513,-0.8217977124807658,-0.6914530049089919,-0.8191982846765617,0.9091514970059881
2020-11-27,61.12,61.44,60.6,61.44,1210580,0.27464081316046657,-0.6887970446602986,-0.8060232384602457,0.8911587710798208,-0.7729216632620926,92.0199966430664,92.0500030517578,91.76000213623048,91.79000091552734,91.79000091552734,-0.5019828964194384,-1.2388328435893978,-1.2173703282386275,-0.7691634867135797,-1.2195706551723173,29911.330078125,30015.130859375,29819.98046875,29910.369140625,29910.369140625,0.06781382113118607,-0.7461976127721174,-0.7650459179078,-0.5213376548860611,-0.7819993067399093,12159.1796875,12236.23046875,12154.5703125,12205.849609375,12205.849609375,0.5174864916085674,-0.35867141996565316,-0.39647019891836216,-0.8779487680838529,-0.37570100154378955,29862.0,29978.0,29696.0,29874.0,29874.0,0.08898693358638388,-0.7500497106496302,-0.7707221603507568,-0.5472554302656037,-0.7877141936297918,3630.25,3642.75,3612.75,3636.5,3636.5,0.1465037430794147,-0.7865348475966432,-0.8042129957552261,-0.7953022075708199,-0.8020147857481248,0.9091514970059881
2020-11-30,60.92,61.12,59.49,60.47,1448340,-0.9522441247843382,-0.6745949760877253,-0.7692369422772501,0.38918747282335564,-0.7587716716776234,91.77999877929688,92.0500030517578,91.51000213623048,91.87000274658205,91.87000274658205,0.17611538650018407,-1.2566122304027458,-1.2326423884915017,-0.8049049083575553,-1.2331626198818464,29854.509765625,29854.509765625,29463.640625,29638.640625,29638.640625,-0.6915878089435838,-0.7266399060032092,-0.7608719625771184,-0.5547663175395213,-0.7794779393987651,12224.25,12244.650390625,12027.16015625,12198.740234375,12198.740234375,-0.07703068212586069,-0.32583592371595016,-0.37863701104359465,-0.7226223517169119,-0.3540037542765334,29914.0,29972.0,29428.0,29629.0,29629.0,-0.6353113349998316,-0.7285854203731142,-0.7650403953684435,-0.591293156570482,-0.7830987225258478,3643.75,3652.0,3592.25,3623.25,3623.25,-0.3018448678568656,-0.7634206200447934,-0.7972382884001442,-0.7842845426641436,-0.7920072487760439,0.9091514970059881
2020-12-01,58.97,60.6,58.97,59.82,1162270,-0.6581989855549171,-0.6786527099656035,-0.746756427943197,-0.0225155321312212,-0.7564845614933665,91.9499969482422,91.9499969482422,91.16000366210938,91.30999755859376,91.30999755859376,-1.375075168425814,-1.2976420059754856,-1.254263558985632,-0.49122241248803217,-1.2617824054780615,29797.5,30083.310546875,29797.5,29823.919921875,29823.919921875,0.43327663602194316,-0.7145114642065179,-0.7641968169002444,-0.5962564271842736,-0.7685639325293423,12313.3603515625,12405.7900390625,12263.9296875,12355.1103515625,12355.1103515625,0.7361571230467784,-0.28051556813531603,-0.35783378569119406,-0.32639868907856945,-0.3226630155550039,29680.0,30057.0,29614.0,29804.0,29804.0,0.41341368457213234,-0.7153053558854864,-0.7666229874411424,-0.6110122874040639,-0.7710696807431714,3631.0,3677.5,3626.0,3660.5,3660.5,0.7061063744393302,-0.7351140660139052,-0.7908976453500698,-0.6278791651137096,-0.7724286654115949,0.9091514970059881
2020-12-02,59.82,60.79,59.49,60.79,746710,0.9153966123823071,-0.6786527099656035,-0.7166514035028401,-0.6946690119253205,-0.7407495187738841,91.19000244140624,91.5,90.98999786376952,91.12000274658205,91.12000274658205,-0.48119940450904913,-1.33559442447211,-1.2765709994734653,-0.20009280489007136,-1.2911355668744315,29695.08984375,29902.509765625,29599.2890625,29883.7890625,29883.7890625,0.12199920840026252,-0.7229803069950349,-0.7615573307542267,-0.5718993406071776,-0.7567742518863806,12285.75,12360.0595703125,12217.349609375,12349.3701171875,12349.3701171875,-0.06987927141110596,-0.25065924902197523,-0.33611103518958535,-0.1271038093825901,-0.29751941501187446,29765.0,29907.0,29589.0,29868.0,29868.0,0.13397548603893014,-0.7219968612474696,-0.7627832558549213,-0.5749535071706647,-0.7582095899032505,3661.25,3672.75,3642.25,3667.25,3667.25,0.09538889748944614,-0.7235569522379811,-0.7806680745626161,-0.4644502952804422,-0.754345756279958,0.9091514970059881
2020-12-03,60.79,61.05,60.08,60.79,736760,-0.03089933757249275,-0.6838029106567561,-0.6998303193507854,-1.006606432950846,-0.7278753929124894,91.05999755859376,91.08999633789062,90.51000213623048,90.70999908447266,90.70999908447266,-1.0197331764529898,-1.379359309728932,-1.3041980142944154,0.19628120528648582,-1.3279636172760623,29920.830078125,30110.880859375,29877.26953125,29969.51953125,29969.51953125,0.1851791635144872,-0.7179209943491839,-0.74760036446772,-0.5877845724506728,-0.7430326764434778,12369.259765625,12439.01953125,12356.990234375,12377.1796875,12377.1796875,0.09496134367774682,-0.22364937373884944,-0.30832805442408706,-0.1506801609473719,-0.27453074747257755,29886.0,30092.0,29755.0,29932.0,29932.0,0.13363343475433176,-0.7166436569578822,-0.7487474802593418,-0.597848412779281,-0.744669549834676,3671.0,3682.0,3655.25,3664.5,3664.5,-0.0923756376038818,-0.711078619248033,-0.7638442350030857,-0.48738418553660684,-0.7403915654815069,0.9091514970059881
2020-12-04,60.6,60.79,59.23,59.23,860900,-1.5284934042346663,-0.7182936486187212,-0.7069832102752575,-0.8424897853284242,-0.7396383907859071,90.70999908447266,90.87000274658205,90.4800033569336,90.6999969482422,90.6999969482422,-0.042483203086628896,-1.4166280160193578,-1.3314818941185091,0.40657740664113934,-1.3584082060719112,29989.560546875,30218.259765625,29989.560546875,30218.259765625,30218.259765625,0.5835295146658389,-0.7018701572324803,-0.7282842532618554,-0.5091352293288556,-0.719906875125225,12399.3203125,12464.23046875,12376.4404296875,12464.23046875,12464.23046875,0.3850938923632912,-0.19896993339654356,-0.28132026159516194,-0.059648894363020614,-0.24815719028958685,29945.0,30216.0,29935.0,30198.0,30198.0,0.6349737938010873,-0.6999663666710934,-0.7291596603431455,-0.5114894898497633,-0.7210471594236242,3668.25,3700.0,3665.5,3698.0,3698.0,0.6236530267571215,-0.6904768077344284,-0.7438923448721847,-0.37300950908715236,-0.7187306062676008,0.9091514970059881
2020-12-07,59.43,60.66,59.43,60.53,945460,1.2499654172307262,-0.7173572484930569,-0.6993587001689515,-0.9325634378410107,-0.7306823504580862,90.80999755859376,91.23999786376952,90.62000274658205,90.79000091552734,90.79000091552734,0.20299971409671122,-1.4535547357770395,-1.3589372759822376,0.40005509575820897,-1.3805049638711941,30233.029296875,30233.029296875,29967.220703125,30069.7890625,30069.7890625,-0.38561877750178225,-0.6793936906514219,-0.7070949666179953,-0.797029404203857,-0.7080784331687351,12461.0,12536.23046875,12460.5498046875,12519.9501953125,12519.9501953125,0.2295804853922139,-0.16828932459492177,-0.2492219658499418,-0.1567001500027591,-0.22173682301685005,30174.0,30265.0,29954.0,30057.0,30057.0,-0.37275420887002575,-0.6779358720947182,-0.7072368685164093,-0.819431818432237,-0.7083691054374521,3694.75,3705.0,3672.25,3690.75,3690.75,-0.18001037927609964,-0.6678650633902279,-0.7208124041699138,-0.6063595197196336,-0.7032249654120173,0.9091514970059881
2020-12-08,60.47,61.05,59.49,60.53,702820,-0.03089933757249275,-0.7062765136726966,-0.6958215563052024,-0.9566726633322693,-0.7233546810989597,90.9000015258789,91.0199966430664,90.75,90.97000122070312,90.97000122070312,0.42347628007387617,-1.4651796692974413,-1.385363121937822,0.13511043897133676,-1.3929594653162685,29997.94921875,30246.220703125,29972.0703125,30173.880859375,30173.880859375,0.22866550030149865,-0.661149659982994,-0.6917843045100976,-0.8626238663718896,-0.6934279957350244,12503.169921875,12594.5400390625,12453.2099609375,12582.76953125,12582.76953125,0.2627832768380775,-0.14654428838338993,-0.21533001390681691,-0.3645169058123607,-0.1946612058680996,29988.0,30237.0,29852.0,30170.0,30170.0,0.2538205999850197,-0.6590967108448266,-0.6910477299366663,-0.88762502918407,-0.6926672353847901,3682.75,3708.0,3664.25,3702.0,3702.0,0.1825539955143688,-0.6539630279786081,-0.699507843521664,-0.8179490649096495,-0.6870984183229104,0.9091514970059881
